id,Error,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Total Difference,lane_kf,type_most_common,vAlpha0_ped,tauAlpha_ped,A_pp,B_pp,A_wall,B_wall,m_gamma,tau_gamma,v_gamma0,a_gamma_max,b_gamma,eta_gamma,mu_gamma,eps_m,A_w,B_w,A_s,B_s,T_i
8882,0.9998425791386806,7.872282327433801e-06,0.002805758779266992,0.0017388353994796546,0.0023632360207888675,0.0003135351048829901,0.00015744564654867602,0.9999997689406643,0.9998425791386806,1,0,1.358,0.5,2967.9940715420184,1.532544376839801,929.8412726827569,0.10442537445240194,200,0.5,3.073,4,4,0.3,1.2,3.283061299401873,2543.920146355669,1.5246621172025816,2107.510886663592,1.1517435067686754,0.97
8884,0.9704565845486296,0.00013410924991778047,0.011580554819082739,0.005364347797502678,0.006496046804366796,0.000742734963307688,0.030442799731336165,0.9999974764758267,0.9704565845486296,41,0,1.358,0.5,2655.2677091101546,1.8639242387758541,2957.8775974342593,0.44720387070185913,200,0.5,3.073,4,4,0.3,1.2,4.243589326881532,1982.414090962181,0.1311548728829117,1763.4875427473767,0.15012042440746368,0.97
8886,0.9734595889155792,0.00022532238920308742,0.015010742460087956,0.0075295750304536805,0.010296470109260348,0.00138228875625956,0.027264009093573578,0.9999909158956739,0.9734595889155792,1,0,1.358,0.5,2669.2456562509506,1.8190580460089254,1716.2834732523581,0.40115824333665295,200,0.5,3.073,4,4,0.3,1.2,3.5801021208536112,700.321785887681,0.5669921865610181,700.4473960604303,0.6899839000763395,0.97
8887,0.772261442867099,0.0001642887252196239,0.01281751634364567,0.00415799032866787,0.007353047661956999,0.00041420867871964895,0.2948982617692249,0.9999993255041378,0.772261442867099,40,0,1.358,0.5,2869.2111548753355,1.7715794710470159,1377.950540203261,1.8507454114675748,200,0.5,3.073,4,4,0.3,1.2,0.566270761478246,2888.8970348370067,1.6928374766730168,2209.9509110033077,0.6532479889367429,0.97
8890,0.7508895735691876,0.00017180411328829572,0.013107406810208331,0.004577137633386472,0.008392403155718344,0.00042357672974521835,0.33175374275969904,0.9999993083672507,0.7508895735691876,40,0,1.358,0.5,2316.6989002740847,1.639780978349273,681.992835447496,1.9651217074021976,200,0.5,3.073,4,4,0.3,1.2,3.354511793084901,1902.9309832254396,1.7299117320817217,2034.924086638973,0.08501291831420829,0.97
8891,0.9991565613164163,3.47387108195841e-06,0.0018638323642319364,0.0009113493164112674,0.0010092699757088147,7.381413379497142e-05,0.0008441506729158937,0.9999999834218265,0.9991565613164163,41,0,1.358,0.5,1145.066126191659,0.7668974606610274,1956.95789505375,1.5520311591981477,200,0.5,3.073,4,4,0.3,1.2,2.518653241697227,1615.7746524155898,1.7680772787673795,2696.632109876647,1.5945203139023012,0.97
8893,0.809375670001306,0.0004313557010193476,0.020769104482845368,0.009177896555505148,0.016658856978839374,0.0007760585519294111,0.2355202127565638,0.9999976496543664,0.809375670001306,41,0,1.358,0.5,2624.7595854790834,1.5055602361806928,2979.3631462796216,1.062978304871939,200,0.5,3.073,4,4,0.3,1.2,0.9477419603720902,2207.465935105469,0.4994934074551306,723.1816548799942,1.4787340734458911,0.97
8895,0.8063802389303086,0.00046805020338094573,0.0216344679477205,0.009764006520913622,0.017818816470380562,0.0008083937312337624,0.24010975433442516,0.9999974356624388,0.8063802389303086,41,0,1.358,0.5,2994.8862467824106,1.622315795952942,1369.5541748198375,0.8587441089096182,200,0.5,3.073,4,4,0.3,1.2,1.5353039296380389,1619.759862560816,1.1130621830377592,2433.289197649534,1.6125125526105908,0.97
8894,0.7961768400658412,0.0004475565951649901,0.021155533440804324,0.009535858378633702,0.017474280756390896,0.0007904978599787744,0.25600237243437435,0.99999771918807,0.7961768400658412,41,0,1.358,0.5,2909.978226540056,1.9108005896302642,1738.4571569535663,0.27261926696682404,200,0.5,3.073,4,4,0.3,1.2,0.7648052409602555,2705.6040570975356,0.6458823927370053,2556.0157979816713,0.05776677694635597,0.97
8896,0.8031132107901462,0.0004339017072685566,0.02083030742136459,0.009249319459849074,0.017241624409703952,0.0007502849810880241,0.24515446460673448,0.99999784747586,0.8031132107901462,41,0,1.358,0.5,2659.6425924440928,1.839002538880526,1356.5379960210473,1.0611785518533747,200,0.5,3.073,4,4,0.3,1.2,4.611760376678898,1630.9713777014056,1.2946092112572187,1232.7907922025297,1.0485836679630052,0.97
