Follower_ID,Run_Index,T,a,b,v0,so,delta,Error,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Total Difference,Duration,source
24,9,0.785008665,3.0175696,2.368636374,34.34100371,5.082855861,3.820919145,789.6141219,1.482278859,1.217488751,1.139414317,0.328031035,0.019615568,1027.219249,0.983929594,789.6141219,69.2,I294l1
11,21,0.75757739,0.844929557,2.297789994,30.39674295,5.423084106,4.052315743,5300.087329,20.50359381,4.528089422,3.477747591,0.528672923,0.011660448,31247.47697,0.995002835,5300.087329,152.3,I294l1
13,21,1.417574765,0.857059045,3.028708126,34.716161,4.16188834,4.522098693,1192.334001,5.262151723,2.293938038,1.769041544,0.565445735,0.017936756,3546.690261,0.989490866,1192.334001,67.3,I294l1
231,31,1.608749251536754,0.492130635353174,0.0972122905968437,28.664708585172782,3.668793318218111,4.251611639647777,15.815789190776876,0.0197733030881361,0.1406175774508155,0.1450989834016227,0.0910362270915435,0.0141891675870119,2.1552900366068366,0.9934269553580788,15.815789190776876,10.799999999999995,I294l2
118,30,0.8559312327890924,2.54753237044206,1.5224066358823072,29.348824747664167,2.0011739190216056,4.035310286955695,156.6245123720131,0.4574280157209751,0.676334248519898,0.5866086605693375,0.4539240038030057,0.0236638596975302,122.13328019750035,0.9780577540816588,156.6245123720131,26.6,I294l2
229,42,0.6068488172819366,0.6341265614565004,2.5681537025602355,27.44399857447493,0.9169980247469314,4.076321186209889,114.799865111036,0.2418095389715836,0.4917413333975329,0.4519679728780945,0.215191555543846,0.0181590121995368,61.41962289878224,0.9842304571752926,114.799865111036,25.3,I294l2
46,36,1.0551175430498236,1.8275887672855853,2.845751037737738,30.082117020456582,1.8739072584160483,3.905577163838395,55.34827429900633,0.0470455501262199,0.216899861978333,0.1915165200657658,0.1200717954489606,0.0292355867378856,13.596163986477556,0.9358841841063018,55.34827429900633,28.8,I294l2
181,33,1.026845103416061,3.2385813128769287,3.0825349047284485,29.64379655527186,1.625266314086989,3.854309033947912,503.5510686345104,5.42121506402791,2.328350288085517,2.006179556312791,0.6913232527167563,0.0530904042309461,1360.7249810710057,0.9214641006408528,503.5510686345104,25.0,I294l2
107,23,0.5388241278889999,0.9899761113344144,2.3074076884614376,27.850429404665,1.9157072006368996,3.703504371247589,74.70305973572073,0.5213425624489862,0.7220405545736238,0.60244403012678,0.3180175567247713,0.0300591225462193,64.6464777436743,0.969608675534047,74.70305973572073,12.4,I294l2
90,29,1.2811338039809954,0.8313129049965958,1.0644768937611295,27.774155340510248,4.922349785438546,3.7768698301577306,28.34109398369037,0.031632223301176,0.1778545003680707,0.1717642059617598,0.137378838163047,0.0203442916391888,5.219316844694052,0.983831379093155,28.34109398369037,16.4,I294l2
