Follower_ID,Run_Index,Tmax,Alpha,Beta,Wc,Gamma1,Gamma2,Wm,Error,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Total Difference,Duration,source,Gamma
64,18,8.042506662,0.80038886,7.837448258,124552.8147,2.017587044,1.835706689,3.257747845,7211.054233,56.01751964,7.484485262,5.949714713,1.196953069,0.02316681,67893.2338,0.97332926,7211.054233,121.1,I294l1,1.9266468665
54,20,6.005697905,0.749355659,5.813531368,115694.0451,0.632169287,2.002347607,6.239711391,18669.80988,213.3415993,14.60621783,11.76421543,0.961276282,0.033233478,338573.1181,0.935459487,18669.80988,158.6,I294l1,1.317258447
17,7,5.981319224,0.362990914,7.408560402,106157.9767,1.740448663,1.806717793,4.689202062,2779.379665,26.22229835,5.120771265,4.262852247,0.811143504,0.032132798,17096.93853,0.916106116,2779.379665,65.1,I294l1,1.7735832280000001
8,1,6.774764336,0.570049275,3.726459968,128842.0381,1.950282342,1.690402541,3.629287297,17739.65598,177.7816798,13.33347966,11.84222695,0.708799873,0.028877284,266316.9563,0.9706643,17739.65598,149.7,I294l1,1.8203424415
51,8,1.969876592,0.25845007,2.188965927,76840.16339,0.47535322,0.805555723,6.798152207,9381.992541,18.46274762,4.29682995,3.548408676,inf,0.017350585,48815.50472,0.989977894,9381.992541,264.3,I294l1,0.6404544715
19,19,3.130076654,0.433464271,3.25941605,85952.34406,1.990098416,1.731413236,2.504123508,3020.025951,28.17988807,5.308473233,3.634206921,0.712909591,0.037814651,23417.48699,0.941418369,3020.025951,83.0,I294l1,1.8607558260000001
24,9,2.466984036,0.18475718,7.365954768,70085.8195,1.9621345,1.802041731,4.772418631,4689.912376,91.80225454,9.581349307,6.767550326,0.800018013,0.050567669,63618.96239,0.902391476,4689.912376,69.2,I294l1,1.8820881155
11,21,3.920231509,0.562393934,5.026150755,113223.5671,1.9569619,1.697687729,7.338266523,36950.13957,670.3513493,25.89114422,24.24549841,2.032017423,0.038159675,1021615.456,0.952096128,36950.13957,152.3,I294l1,1.8273248145
13,21,2.626420898,0.275837581,5.329315916,62224.34818,0.617561894,0.738648045,6.943215356,17345.78734,726.7087981,26.95753694,25.73558952,2.180824832,0.053057448,489801.7299,0.936209904,17345.78734,67.3,I294l1,0.6781049695
231,31,4.902549039976869,0.3533191174447133,3.1808561570947016,100522.05898811806,1.89998906996742,1.4982833120610306,7.785312197922766,25.23270142403784,0.0822379290815488,0.286771562539853,0.231492673615026,0.1581201529547034,0.0300284756738521,8.96393426988882,0.9704976318161844,25.23270142403784,10.799999999999995,I294l2,1.6991361910142253
