id,best_fitness,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Error,Wc_pp,Wc_pb,Wc_pbar,Wc_bp,Wc_bb,Wc_bbar,eta_ped,xi_ped,tau_ped,v_pref_ped,eta_bike,xi_bike,tau_bike,v_pref_bike,type_most_common
13278,0.9973819262387056,0.002624946,0.051234227462788745,0.024787602249485726,0.052014851,0.001692852,1.5644678539704309,0.999987023,0.9973819262387056,200.9845532679681,307.4563176136158,55.11063805699857,1663.4862785036028,1631.3361030950518,1623.2225156494414,2.8217027942648505,1.0884840117688448,1.2446044099247715,1.358,3.240437972217486,2.6677318187607257,0.535195995,3.073,0
13279,0.9969914379071327,0.003017641,0.054933058,0.02664348,0.056822758457153295,0.001826215,1.4213088416436594,0.9999851994476963,0.9969914379071327,194.33425465637671,230.35283354631218,89.78418588503554,1668.0661291788952,1651.1089113195803,1595.3651893842866,2.8213432307408515,4.982159529589537,0.38212248517316644,1.358,2.6691371467689438,3.893585953,0.3145357815997037,3.073,0
13280,0.9951570402125798,0.004866528,0.069760506,0.031396158,0.071596078,0.002347005,2.160738515355572,0.9999756118772656,0.9951570402125798,193.03770036807092,312.0741476327896,103.70510909631582,1646.257535425424,2152.525391,1091.6526606512166,1.8849065269821597,3.853535030341717,0.7968020170437369,1.358,5.939479345317773,5.000674566765097,0.5263940534159528,3.073,0
13281,0.9943341456368571,0.005698139,0.07548602,0.033888756841451546,0.080420333,0.00265205,2.022839412426603,0.9999713701514087,0.9943341456368571,206.18300915383816,297.03634118693356,80.33791887433189,1768.7238953941837,1563.051295127227,1340.1660729072482,2.442400494854877,3.453314108551961,0.43408463362206096,1.358,4.792757645554601,3.3623971198539335,0.38308350134480135,3.073,0
13290,0.9984907698062481,0.001511511,0.038878161,0.017152879,0.028402369205690208,0.003240649,0.3748548302786281,0.9999277813691247,0.9984907698062481,200.3379459877154,314.62988245383025,25.30819597989341,2198.664391303658,1635.9990297450174,1315.7663916733165,1.3617411828789678,1.2532717397422113,1.1813179346102554,1.358,5.030696486838126,2.8124455491404703,0.84703462,3.073,0
13291,0.999454919,0.000545378,0.023353331,0.011023020164043267,0.016998697037005246,0.003120489,0.083442844,0.9999404831261466,0.999454919,208.0521781877431,237.88075711008145,50.627079017648164,2007.2566156034438,1596.2889237490622,1113.796529317622,4.555715826000115,4.431055856062064,1.0855050091806595,1.358,4.187571262321152,4.331004091642641,0.3229121981488042,3.073,0
13292,0.9994652809886254,0.000535005,0.023130177015464336,0.011230681767253383,0.016473989,0.002408721,0.10325598213197593,0.9999593917107249,0.9994652809886254,199.69882942540582,299.02738452501507,101.5609286098732,1675.348311009687,1660.2470469607786,1505.6449695238368,2.3429314649913247,2.5206304313116554,0.7966761724058127,1.358,4.873119964809764,4.470839385163689,0.5267512717326254,3.073,0
13296,0.9828357422045713,0.017464014644937624,0.13215148370312618,0.075947642,0.12306177751870548,0.004632732,22.912787214158165,0.9996911635524254,0.9828357422045713,195.55482378028378,257.7406300175263,105.27397979381891,2226.5179138757367,1752.2858487987726,991.9210368835494,2.02024739,1.0011172083031403,0.5295090914158276,1.358,3.4396003942672624,4.894935468081837,0.8406313524302478,3.073,0
13298,0.9789402594338285,0.021512794,0.14667240516144753,0.089112294,0.13571775683457266,0.010397220181445262,19.29697660895191,0.9987220277387683,0.9789402594338285,187.69679277445212,292.9280172221391,29.650977258473418,2069.3902029543005,1555.6500035784263,1600.2183271816334,4.961996874059363,4.291377295910833,0.8851420547246265,1.358,4.505611746,5.421240358622796,0.7539949289301535,3.073,0
13299,0.9851382227411959,0.015085981759443307,0.12282500461812858,0.067372033,0.11169783649982404,0.008991555,4.012871148,0.9995754503479735,0.9851382227411959,180.40141502362835,212.8856319378713,77.23118764,1975.9388582887905,2105.9886358781073,1329.6424526482904,2.899544102353005,4.319729338233742,1.3154652657512573,1.358,5.671120017634458,5.334300332781515,0.7003181056924641,3.073,0
13300,0.9766482316657451,0.023910111724081973,0.1546289485319032,0.097899234,0.12899593573983087,0.033586148445810905,7.244763852396837,0.9964068462681214,0.9766482316657451,205.24670982516577,243.61979486323455,115.16675454461411,1856.1888061013951,1672.007320470847,1522.6910278790278,3.018315259345377,2.755053392,0.6721442700585623,1.358,5.970173904082465,2.958464708265995,0.8097257442123038,3.073,0
13295,0.9817448900549488,0.018594555601944084,0.13636185537731615,0.081350055,0.13983348838906132,0.006606006,9.948087247040085,0.9993906475431641,0.9817448900549488,187.31458005454013,219.70501771966772,27.73636928811546,2019.7330247572245,1650.7061852799593,1635.2643323697139,4.858903125652592,4.413984697939117,1.297426628916711,1.358,2.4667101582161095,3.490778452343119,0.7815892862610447,3.073,0
13304,0.9963773495982848,0.003635822,0.060297775,0.028644599,0.056299530861328224,0.001982205,2.8686633313229075,0.9999749925501662,0.9963773495982848,206.81485103565967,246.7148029053629,112.23460384534278,1761.280686013512,1570.4039149481887,1410.2251053096295,1.2891951424609571,3.2701516155876402,1.001261858743764,1.358,2.2687211970813728,3.8817547882103542,0.5841854628515506,3.073,0
13301,0.9961705957959031,0.003844125,0.062001007348241884,0.028479029430991672,0.058101544,0.002038196,2.2180600743375214,0.9999751030678871,0.9961705957959031,172.49607823492485,235.4746968235225,88.74714279,1776.749445888683,2157.649403344127,1366.8933667056137,1.1534026585085093,1.5247433135938135,1.1948996266727885,1.358,2.6201469583456616,3.004932467434073,0.33339018178014324,3.073,0
